Tax Year,County,Income Class,Number of Returns,NY AGI Total ($),NYS Tax Liability Total ($)
2002,Schuyler,"$75,000 - $99,999",692,57589057.14,1543417.73
2002,Schuyler,"Under $5,000",860,2160516.91,44184.92
2002,Seneca,"$10,000 - $19,999",2430,34713275.67,862338.92
2002,Seneca,"$100,000 - $199,999",982,142397409.36,2392229.31
2002,Seneca,"$20,000 - $29,999",1956,48369319.8,1063364.37
2002,Seneca,"$200,000 or more",484,154332639.1,1422541.68
2002,Seneca,"$30,000 - $39,999",1687,58179661.88,1423674.19
2002,Seneca,"$40,000 - $49,999",1530,70093874.35,1788333.83
2002,Seneca,"$5,000 - $9,999",1224,9555500.91,199676.3
2002,Seneca,"$50,000 - $74,999",2274,127836455.43,3463510.18
2002,Seneca,"$75,000 - $99,999",1119,102372662.94,2154765.59
2002,Seneca,"Under $5,000",1337,3171794.92,63490.2
2002,Staten Island,"$10,000 - $19,999",22504,340750096.75,9822674.46
2002,Staten Island,"$100,000 - $199,999",15573,2288498283.54,50618364.6
2002,Staten Island,"$20,000 - $29,999",20503,528249130.8,14099116.71
2002,Staten Island,"$200,000 or more",8092,2431998255.86,31872665.76
2002,Staten Island,"$30,000 - $39,999",21434,773220301.13,22068859.17
2002,Staten Island,"$40,000 - $49,999",17823,704059463.95,27238000.12
2002,Staten Island,"$5,000 - $9,999",11966,91072444.21,2705310.46
2002,Staten Island,"$50,000 - $74,999",29653,1831159972.13,56133059.34
2002,Staten Island,"$75,000 - $99,999",17686,1588121847.34,41664428.44
2002,Staten Island,"Under $5,000",11212,27518776.09,672988.81
2002,Suffolk,"$10,000 - $19,999",80137,1112910818.9,37265117.5
2002,Suffolk,"$100,000 - $199,999",67435,10534430592.96,241308214.72
2002,Suffolk,"$20,000 - $29,999",77824,1886216044.97,61806414.24
2002,Suffolk,"$200,000 or more",33672,9614938071.03,147518920.06
2002,Suffolk,"$30,000 - $39,999",80306,2754047882.97,99274803.7
2002,Suffolk,"$40,000 - $49,999",69726,3075033269.69,113729417.53
2002,Suffolk,"$5,000 - $9,999",34688,260320843.3,7345893.74
2002,Suffolk,"$50,000 - $74,999",113835,7141410959.36,250401745.74
2002,Suffolk,"$75,000 - $99,999",71188,6689136870.06,192174423.69
2002,Suffolk,"Under $5,000",35591,90785701.09,2360308.89
2002,Tioga,"$10,000 - $19,999",3598,58450203.98,1095135.93
2002,Tioga,"$100,000 - $199,999",1551,234062242.9,3472561.84
2002,Tioga,"$20,000 - $29,999",2771,69042134.15,1582938.51
2002,Tioga,"$200,000 or more",804,260327804.87,2489259.79
2002,Tioga,"$30,000 - $39,999",2856,109963875.19,2361927.56
2002,Tioga,"$40,000 - $49,999",2005,95906557.4,2341300.61
2002,Tioga,"$5,000 - $9,999",1735,12131142.42,288473.39
2002,Tioga,"$50,000 - $74,999",3397,204006521.34,4969667.89
2002,Tioga,"$75,000 - $99,999",1697,147857842.66,3435938.79
2002,Tioga,"Under $5,000",1797,4401506.3,73967.17
2002,Tompkins,"$10,000 - $19,999",6065,88312110.12,2258683.8
2002,Tompkins,"$100,000 - $199,999",3345,543587633.22,9554814.17
2002,Tompkins,"$20,000 - $29,999",5645,131281402.47,3726742.83
2002,Tompkins,"$200,000 or more",1569,465100339.9,4764937.45
2002,Tompkins,"$30,000 - $39,999",4831,169695901.83,4383816.24
2002,Tompkins,"$40,000 - $49,999",4018,176085931.09,5250053.27
2002,Tompkins,"$5,000 - $9,999",3107,23581144.51,605829.16
2002,Tompkins,"$50,000 - $74,999",6388,403921922.31,10613398.21
2002,Tompkins,"$75,000 - $99,999",3599,315256763.73,7840149.79
2002,Tompkins,"Under $5,000",3240,8277866.32,166830.66
2002,Westchester,"$10,000 - $19,999",39177,558930229.71,22866295.78
2002,Westchester,"$100,000 - $199,999",53310,8789347305.7,212195198.11
2002,Westchester,"$20,000 - $29,999",41770,1027943625.89,38141291.69
2002,Westchester,"$200,000 or more",33348,9956818613.9,164366919.7
2002,Westchester,"$30,000 - $39,999",48577,1569679674.1,70382567.77
2002,Westchester,"$40,000 - $49,999",43300,1852158769.44,91655227.99
2002,Westchester,"$5,000 - $9,999",15635,117690848.21,4187799.75
2002,Westchester,"$50,000 - $74,999",85545,5722872232.95,224258878.77
2002,Westchester,"$75,000 - $99,999",50923,4424131911.68,171353028.82
2002,Westchester,"Under $5,000",14135,38584485.62,1204071.5
2003,Albany,"$10,000 - $19,999",19345,317840324.29,7765408.74
2003,Albany,"$100,000 - $199,999",12297,1866972866.59,36618878.73
2003,Albany,"$20,000 - $29,999",17515,403164845.46,11349943.74
2003,Albany,"$200,000 or more",6437,1767103359.14,24821333.36
2003,Albany,"$30,000 - $39,999",17249,566257415.17,18263310.73
2003,Albany,"$40,000 - $49,999",13747,605650312.8,21548030.53
2003,Albany,"$5,000 - $9,999",9346,70973266.0,1731915.32
2003,Albany,"$50,000 - $74,999",25120,1529661086.41,44340736.12
2003,Albany,"$75,000 - $99,999",14382,1310607805.73,32836180.17
2003,Albany,"Under $5,000",8658,20361701.63,432756.35
2003,Bronx,"$10,000 - $19,999",87870,1230070894.38,26261517.83
2003,Bronx,"$100,000 - $199,999",22810,3249185257.25,47246026.56
2003,Bronx,"$20,000 - $29,999",71629,1877027978.22,33882394.91
2003,Bronx,"$200,000 or more",10034,2798265735.88,26451655.31
2003,Bronx,"$30,000 - $39,999",55454,1931947807.01,39499503.02
2003,Bronx,"$40,000 - $49,999",43784,1888278718.12,44147592.17
2003,Bronx,"$5,000 - $9,999",52983,390001284.79,7250557.24
2003,Bronx,"$50,000 - $74,999",57454,3607478981.81,75362323.48
2003,Bronx,"$75,000 - $99,999",28742,2368040858.46,45824141.29
2003,Bronx,"Under $5,000",57529,136458576.95,2100062.09
2003,Brooklyn,"$10,000 - $19,999",132116,1962352145.89,50684643.1
2003,Brooklyn,"$100,000 - $199,999",63792,9826942725.31,175752639.3
2003,Brooklyn,"$20,000 - $29,999",118254,2964100801.57,85584562.15
2003,Brooklyn,"$200,000 or more",34413,10649332749.92,111512202.91
2003,Brooklyn,"$30,000 - $39,999",110050,3960378285.04,106994655.31
2003,Brooklyn,"$40,000 - $49,999",90918,3728462202.46,132240587.72
2003,Brooklyn,"$5,000 - $9,999",60235,467084387.11,12849630.63
2003,Brooklyn,"$50,000 - $74,999",139767,9315934568.08,273183854.33
2003,Brooklyn,"$75,000 - $99,999",74305,6389187128.91,161212108.96
2003,Brooklyn,"Under $5,000",57534,135256041.36,3121457.06
2003,Broome,"$10,000 - $19,999",14331,222606033.12,5239470.17
2003,Broome,"$100,000 - $199,999",6485,927363722.25,18285187.03
2003,Broome,"$20,000 - $29,999",12941,325177987.11,8341973.03
2003,Broome,"$200,000 or more",3262,1000243341.91,11047178.23
2003,Broome,"$30,000 - $39,999",10333,348129503.07,9461645.48
2003,Broome,"$40,000 - $49,999",8905,383874280.93,11623415.25
2003,Broome,"$5,000 - $9,999",7401,58277311.71,1350844.69
2003,Broome,"$50,000 - $74,999",12780,777563161.06,23130169.96
2003,Broome,"$75,000 - $99,999",7576,681130469.12,16141649.46
2003,Broome,"Under $5,000",7680,18304934.86,422871.28
2003,Cayuga,"$10,000 - $19,999",5584,81192961.22,1933397.43
2003,Cayuga,"$100,000 - $199,999",2334,362787650.81,5901155.89
2003,Cayuga,"$20,000 - $29,999",4510,106867303.65,2649222.64
2003,Cayuga,"$200,000 or more",1208,341611668.87,3664523.78
2003,Cayuga,"$30,000 - $39,999",4304,147999981.28,3863430.87
2003,Cayuga,"$40,000 - $49,999",3417,145507267.11,3933768.12
2003,Cayuga,"$5,000 - $9,999",3071,23006389.88,524125.51
2003,Cayuga,"$50,000 - $74,999",5694,361665379.68,9413042.81
2003,Cayuga,"$75,000 - $99,999",2644,218421665.65,4966819.13
2003,Cayuga,"Under $5,000",3098,7509980.13,150980.85
2003,Chemung,"$10,000 - $19,999",5598,78969666.84,1942842.83
2003,Chemung,"$100,000 - $199,999",2656,381417937.26,6721839.21
2003,Chemung,"$20,000 - $29,999",5589,125293363.39,3626274.37
2003,Chemung,"$200,000 or more",1257,416780022.8,3821718.54
2003,Chemung,"$30,000 - $39,999",4682,160788463.06,3977321.9
2003,Chemung,"$40,000 - $49,999",3548,145897415.97,4850892.03
2003,Chemung,"$5,000 - $9,999",3309,24935447.67,566392.15
2003,Chemung,"$50,000 - $74,999",5535,333169070.22,9202407.59
2003,Chemung,"$75,000 - $99,999",2912,243477315.8,5819057.06
2003,Chemung,"Under $5,000",3195,7494331.24,147051.72
2003,Cortland,"$10,000 - $19,999",3543,48912335.92,1206879.71
2003,Cortland,"$100,000 - $199,999",1463,212494053.32,4111770.32
2003,Cortland,"$20,000 - $29,999",3333,84621518.33,2004826.48
2003,Cortland,"$200,000 or more",688,212565717.1,2204812.66
2003,Cortland,"$30,000 - $39,999",2693,90164040.55,2570374.3
2003,Cortland,"$40,000 - $49,999",1954,82975806.65,2426735.5
2003,Cortland,"$5,000 - $9,999",1863,14474516.2,343549.4
2003,Cortland,"$50,000 - $74,999",3328,203454537.88,5190214.54
2003,Cortland,"$75,000 - $99,999",1688,146352531.67,3751562.86
2003,Cortland,"Under $5,000",1902,4310933.27,95505.29
2003,Dutchess,"$10,000 - $19,999",17365,266727719.07,7762419.72
2003,Dutchess,"$100,000 - $199,999",11896,1742779484.48,37103335.34
2003,Dutchess,"$20,000 - $29,999",16479,411372149.25,11043893.24
2003,Dutchess,"$200,000 or more",6568,1809163089.02,25330868.74
2003,Dutchess,"$30,000 - $39,999",16616,569835915.7,18461557.21
2003,Dutchess,"$40,000 - $49,999",14123,632909827.17,21279312.35
2003,Dutchess,"$5,000 - $9,999",7856,56875818.95,1544339.92
2003,Dutchess,"$50,000 - $74,999",23281,1575821668.33,48597226.1
2003,Dutchess,"$75,000 - $99,999",14003,1198420196.37,35127775.43
2003,Dutchess,"Under $5,000",8549,20675978.58,483502.87
2003,Erie,"$10,000 - $19,999",60632,936259616.3,24049092.88
2003,Erie,"$100,000 - $199,999",29465,4596950260.79,85393653.61
2003,Erie,"$20,000 - $29,999",51989,1348163604.36,31369150.73
2003,Erie,"$200,000 or more",17201,5418363972.82,56976455.37
2003,Erie,"$30,000 - $39,999",49462,1674589644.47,48043352.61
2003,Erie,"$40,000 - $49,999",40547,1731703951.45,53064046.32
2003,Erie,"$5,000 - $9,999",30205,239298973.61,5777398.62
2003,Erie,"$50,000 - $74,999",69367,4214101581.03,123842855.96
2003,Erie,"$75,000 - $99,999",38704,3283091138.81,86463191.93
2003,Erie,"Under $5,000",28383,70364396.44,1418041.28
2003,"Grand Total, Full-Year Resident",All Classes,6528625,419337725832.48,11917103184.91
2003,Madison,"$10,000 - $19,999",4581,62825357.14,1626255.77
2003,Madison,"$100,000 - $199,999",2215,333597975.41,5526503.43
2003,Madison,"$20,000 - $29,999",4291,109272191.47,2700562.9
2003,Madison,"$200,000 or more",1084,329254046.5,3134521.91
2003,Madison,"$30,000 - $39,999",3598,132938330.84,3114493.4
2003,Madison,"$40,000 - $49,999",3063,142003665.4,3839804.11
2003,Madison,"$5,000 - $9,999",2252,17724153.29,378532.22
2003,Madison,"$50,000 - $74,999",4548,278389336.16,7446874.75
2003,Madison,"$75,000 - $99,999",2520,210339496.72,5321995.87
2003,Madison,"Under $5,000",2567,6586787.6,129655.46
2003,Manhattan,"$10,000 - $19,999",41269,614083404.51,35932501.26
2003,Manhattan,"$100,000 - $199,999",111993,18055365607.11,699226319.11
2003,Manhattan,"$20,000 - $29,999",52274,1280523884.16,76199040.59
2003,Manhattan,"$200,000 or more",73716,21174055719.03,555796019.46
2003,Manhattan,"$30,000 - $39,999",59674,2214585876.06,124381625.43
2003,Manhattan,"$40,000 - $49,999",61829,2620708536.45,210675074.46
2003,Manhattan,"$5,000 - $9,999",15745,109282206.37,6605925.8
2003,Manhattan,"$50,000 - $74,999",148306,9005465094.24,592400501.53
2003,Manhattan,"$75,000 - $99,999",93427,7815757387.25,494371968.78
2003,Manhattan,"Under $5,000",13051,31892896.6,1608837.93
2003,Monroe,"$10,000 - $19,999",45152,660731368.28,17774372.46
2003,Monroe,"$100,000 - $199,999",26894,3946046189.37,77067392.93
2003,Monroe,"$20,000 - $29,999",42047,1080697062.76,30490741.39
2003,Monroe,"$200,000 or more",13795,4169976678.59,46321845.02
2003,Monroe,"$30,000 - $39,999",36892,1254124618.04,36090752.83
2003,Monroe,"$40,000 - $49,999",32070,1488616022.25,47542428.79
2003,Monroe,"$5,000 - $9,999",22200,168824973.49,4500852.86
2003,Monroe,"$50,000 - $74,999",56400,3603809712.45,98027011.28
2003,Monroe,"$75,000 - $99,999",28364,2474301408.75,70799922.33
2003,Monroe,"Under $5,000",23233,57455298.78,1420251.94
2003,NYS Unclassified +,All Classes,2258,74180434.84,2437009.8
2003,Nassau,"$10,000 - $19,999",60515,833406463.59,44899437.19
2003,Nassau,"$100,000 - $199,999",79278,11467241781.62,356410623.64
2003,Nassau,"$20,000 - $29,999",64745,1670573963.95,68635763.05
2003,Nassau,"$200,000 or more",45652,14614905899.14,250576362.35
2003,Nassau,"$30,000 - $39,999",66193,2664862231.46,107219683.62
2003,Nassau,"$40,000 - $49,999",67518,2983113339.95,147971274.36
2003,Nassau,"$5,000 - $9,999",25986,187650345.31,8348296.87
2003,Nassau,"$50,000 - $74,999",118948,6839808977.18,343329575.86
2003,Nassau,"$75,000 - $99,999",78423,7177856129.61,318652654.75
2003,Nassau,"Under $5,000",21953,50694625.3,1884916.19
2003,Onondaga,"$10,000 - $19,999",30612,472603490.11,11535760.41
2003,Onondaga,"$100,000 - $199,999",16036,2172054008.08,45189727.72
2003,Onondaga,"$20,000 - $29,999",27508,654051978.94,21010153.67
2003,Onondaga,"$200,000 or more",8451,2575970956.09,33196011.81
2003,Onondaga,"$30,000 - $39,999",25065,935140721.08,25391682.38
2003,Onondaga,"$40,000 - $49,999",21360,921521281.23,30670822.79
2003,Onondaga,"$5,000 - $9,999",15636,122189831.16,3060596.02
2003,Onondaga,"$50,000 - $74,999",35459,2247801701.64,67248832.24
2003,Onondaga,"$75,000 - $99,999",19887,1603165754.61,46158877.39
2003,Onondaga,"Under $5,000",15923,41855182.74,946861.95
2003,Orange,"$10,000 - $19,999",21204,326181987.45,9595708.04
2003,Orange,"$100,000 - $199,999",12571,1815793274.21,38082517.12
2003,Orange,"$20,000 - $29,999",19481,542061285.13,15978275.62
2003,Orange,"$200,000 or more",6674,2054951378.61,25780810.4
2003,Orange,"$30,000 - $39,999",19531,671512315.12,20773395.18
2003,Orange,"$40,000 - $49,999",15318,635279554.4,21656362.84
2003,Orange,"$5,000 - $9,999",10668,86412693.5,2332554.98
2003,Orange,"$50,000 - $74,999",25021,1648367910.81,48033608.02
2003,Orange,"$75,000 - $99,999",13507,1078058636.05,33551953.73
2003,Orange,"Under $5,000",10277,27353154.65,636362.65
2003,Queens,"$10,000 - $19,999",95041,1454333019.76,41562672.44
2003,Queens,"$100,000 - $199,999",62241,9967612825.23,198254242.47
2003,Queens,"$20,000 - $29,999",100342,2700099332.12,73026494.87
2003,Queens,"$200,000 or more",32791,9929508599.66,124925368.61
2003,Queens,"$30,000 - $39,999",91369,3222378682.23,98170613.53
2003,Queens,"$40,000 - $49,999",73751,3251181096.45,109294449.77
2003,Queens,"$5,000 - $9,999",47057,335733020.02,9748787.28
2003,Queens,"$50,000 - $74,999",125431,7927867683.45,243732698.27
2003,Queens,"$75,000 - $99,999",66705,5514176689.5,170351314.02
2003,Queens,"Under $5,000",44916,105863968.94,2746690.99
2003,Residence Unknown ++,All Classes,579,12667665.41,441672.49
2003,Rockland,"$10,000 - $19,999",14379,203559494.78,7208667.63
2003,Rockland,"$100,000 - $199,999",13183,2197641198.04,51473304.38
2003,Rockland,"$20,000 - $29,999",14125,349865257.96,11493386.55
2003,Rockland,"$200,000 or more",7662,2097188829.04,33058194.3
2003,Rockland,"$30,000 - $39,999",13834,498624207.66,16669428.41
2003,Rockland,"$40,000 - $49,999",12684,556714412.32,24283989.76
2003,Rockland,"$5,000 - $9,999",6406,48153248.9,1580865.01
2003,Rockland,"$50,000 - $74,999",21341,1312323490.65,49742118.66
2003,Rockland,"$75,000 - $99,999",14801,1283909753.89,46147302.72
2003,Rockland,"Under $5,000",5801,14812869.1,410550.42
2003,Schuyler,"$10,000 - $19,999",1481,23215354.92,535417.33
2003,Schuyler,"$100,000 - $199,999",559,84565865.49,1491376.14
2003,Schuyler,"$20,000 - $29,999",1331,33243432.68,796335.04
2003,Schuyler,"$200,000 or more",259,76787569.82,829731.85
2003,Schuyler,"$30,000 - $39,999",1199,41876327.92,1154920.8
2003,Schuyler,"$40,000 - $49,999",884,38152651.56,1096137.42
2003,Schuyler,"$5,000 - $9,999",786,5716904.03,132457.14
2003,Schuyler,"$50,000 - $74,999",1279,79702898.02,1899189.66
2003,Schuyler,"$75,000 - $99,999",712,59961735.64,1493340.63
2003,Schuyler,"Under $5,000",803,2165965.89,38484.4
2003,Seneca,"$10,000 - $19,999",2600,36472232.84,919304.13
2003,Seneca,"$100,000 - $199,999",1022,146209956.15,2417699.34
2003,Seneca,"$20,000 - $29,999",2093,52321939.11,1222319.15
2003,Seneca,"$200,000 or more",455,129699502.08,1547400.77
2003,Seneca,"$30,000 - $39,999",1942,69722901.1,1775501.64
2003,Seneca,"$40,000 - $49,999",1460,64874915.63,1909235.13
2003,Seneca,"$5,000 - $9,999",1270,9756268.85,208590.07
2003,Seneca,"$50,000 - $74,999",2244,147999933.68,3455506.27
2003,Seneca,"$75,000 - $99,999",1178,115705530.67,2334921.01
2003,Seneca,"Under $5,000",1319,3348116.94,61147.52
2003,Staten Island,"$10,000 - $19,999",24700,367528707.3,12144273.2
2003,Staten Island,"$100,000 - $199,999",15166,2415877255.1,49310735.45
2003,Staten Island,"$20,000 - $29,999",23301,569618058.03,17907712.52
2003,Staten Island,"$200,000 or more",8331,2334530589.01,34362362.51
2003,Staten Island,"$30,000 - $39,999",21109,769405639.78,27205723.62
2003,Staten Island,"$40,000 - $49,999",18088,840483477.04,29217188.47
2003,Staten Island,"$5,000 - $9,999",11308,83555799.51,2587486.61
2003,Staten Island,"$50,000 - $74,999",26849,1778851997.17,52988497.17
2003,Staten Island,"$75,000 - $99,999",17234,1483221530.75,44902532.15
2003,Staten Island,"Under $5,000",11260,26847826.27,720088.61
2003,Suffolk,"$10,000 - $19,999",78505,1213580257.36,38395297.41
2003,Suffolk,"$100,000 - $199,999",65138,9936976191.79,237268528.72
2003,Suffolk,"$20,000 - $29,999",82563,1943482250.42,68487895.01
2003,Suffolk,"$200,000 or more",34788,9924876428.43,140156303.0
2003,Suffolk,"$30,000 - $39,999",77591,2706851476.53,97099853.21
2003,Suffolk,"$40,000 - $49,999",65199,3189503822.68,105038293.03
2003,Suffolk,"$5,000 - $9,999",39235,299771835.62,9556138.66
2003,Suffolk,"$50,000 - $74,999",119147,8113140544.56,256653063.65
2003,Suffolk,"$75,000 - $99,999",70370,6468968741.86,180495829.44
2003,Suffolk,"Under $5,000",37069,93288818.7,2426063.17
2003,Tioga,"$10,000 - $19,999",3510,53293646.24,1216586.92
2003,Tioga,"$100,000 - $199,999",1468,222448262.87,3747969.8
2003,Tioga,"$20,000 - $29,999",3120,76785183.93,1899602.35
2003,Tioga,"$200,000 or more",675,188972557.53,2013914.73
2003,Tioga,"$30,000 - $39,999",2893,96479718.85,2244775.65
2003,Tioga,"$40,000 - $49,999",2178,91065282.41,2732592.45
2003,Tioga,"$5,000 - $9,999",1872,14702577.16,340566.27
2003,Tioga,"$50,000 - $74,999",3264,206296536.07,5211070.01
2003,Tioga,"$75,000 - $99,999",1735,164567077.78,3466659.07
2003,Tioga,"Under $5,000",1988,4469274.51,92816.72
2003,Tompkins,"$10,000 - $19,999",6258,84378154.26,2504776.94
2003,Tompkins,"$100,000 - $199,999",3227,510549307.03,9988885.94
2003,Tompkins,"$20,000 - $29,999",6013,152350713.7,3869873.73
2003,Tompkins,"$200,000 or more",1577,476829607.94,6177724.32
2003,Tompkins,"$30,000 - $39,999",5374,180597991.0,4855440.41
2003,Tompkins,"$40,000 - $49,999",4344,191462163.49,5574836.81
2003,Tompkins,"$5,000 - $9,999",3160,22555933.15,551276.94
2003,Tompkins,"$50,000 - $74,999",7182,435345344.97,13000284.33
2003,Tompkins,"$75,000 - $99,999",3592,312095240.58,8488307.48
2003,Tompkins,"Under $5,000",3046,7774432.45,160320.26
2003,Westchester,"$10,000 - $19,999",35184,561493522.48,19947437.68
2003,Westchester,"$100,000 - $199,999",59249,8688074502.46,254952947.49
2003,Westchester,"$20,000 - $29,999",42760,1064152624.85,44389449.36
2003,Westchester,"$200,000 or more",32540,10502947924.52,174730022.68
2003,Westchester,"$30,000 - $39,999",45579,1597919055.54,66593837.3
2003,Westchester,"$40,000 - $49,999",47113,2310664228.68,94930455.34
2003,Westchester,"$5,000 - $9,999",17218,130222033.3,4800024.63
2003,Westchester,"$50,000 - $74,999",86120,5837187898.58,237117999.94
2003,Westchester,"$75,000 - $99,999",51960,4544641814.52,183691580.83
2003,Westchester,"Under $5,000",14366,37024844.35,1088485.47
2003,Yates,"$10,000 - $19,999",1744,29179978.87,552456.57
2003,Yates,"$100,000 - $199,999",700,100256345.71,1750629.9
2003,Yates,"$20,000 - $29,999",1669,41100668.62,881006.12
2003,Yates,"$200,000 or more",335,96910869.69,1023478.24
2003,Yates,"$30,000 - $39,999",1353,44942677.11,1134042.21
2003,Yates,"$40,000 - $49,999",1053,43886323.27,1240586.55
2003,Yates,"$5,000 - $9,999",950,7355614.0,149322.74
2003,Yates,"$50,000 - $74,999",1613,110062243.13,2299680.55
2003,Yates,"$75,000 - $99,999",833,79627261.83,1684913.45
2003,Yates,"Under $5,000",919,2332209.33,41497.29
2004,Albany,"$10,000 - $19,999",20373,309731678.14,8475719.38
2004,Albany,"$100,000 - $199,999",11743,1672146333.5,36753827.02
2004,Albany,"$20,000 - $29,999",17907,434017226.63,13729094.88
2004,Albany,"$200,000 or more",6555,1743014867.51,27498181.26
2004,Albany,"$30,000 - $39,999",16877,604775082.48,18161240.58
2004,Albany,"$40,000 - $49,999",15058,659775274.49,21968824.12
2004,Albany,"$5,000 - $9,999",9261,69569095.49,2017623.64
2004,Albany,"$50,000 - $74,999",24828,1520138440.82,52824809.81
2004,Albany,"$75,000 - $99,999",14086,1319426328.74,37223416.42
2004,Albany,"Under $5,000",9472,23163973.12,556161.99
2004,Bronx,"$10,000 - $19,999",86235,1280640584.5,27229339.5
2004,Bronx,"$100,000 - $199,999",22915,3309576563.54,49680995.56
2004,Bronx,"$20,000 - $29,999",73559,1937696469.61,41921160.93
2004,Bronx,"$200,000 or more",10988,3330400338.35,27431985.24
2004,Bronx,"$30,000 - $39,999",56435,1972246154.24,39807698.61
2004,Bronx,"$40,000 - $49,999",43893,1880790856.07,44712904.5
2004,Bronx,"$5,000 - $9,999",53538,373965771.35,7643654.0
2004,Bronx,"$50,000 - $74,999",57253,3344969373.89,79339632.87
2004,Bronx,"$75,000 - $99,999",29426,2545334796.04,51392043.03
2004,Bronx,"Under $5,000",55495,148826539.17,2418816.92
2004,Brooklyn,"$10,000 - $19,999",115522,1617276849.85,45001153.48
2004,Brooklyn,"$100,000 - $199,999",63605,8919551259.23,195980699.47
2004,Brooklyn,"$20,000 - $29,999",115722,2769052952.56,82364004.26
2004,Brooklyn,"$200,000 or more",34080,10093701543.51,122561245.37
2004,Brooklyn,"$30,000 - $39,999",106218,3679721238.11,105984194.8
2004,Brooklyn,"$40,000 - $49,999",83294,3614633713.57,116088462.76
2004,Brooklyn,"$5,000 - $9,999",63337,489646747.38,11925388.3
2004,Brooklyn,"$50,000 - $74,999",138137,8186040887.36,247573216.86
2004,Brooklyn,"$75,000 - $99,999",75275,5997980334.86,179493706.77
2004,Brooklyn,"Under $5,000",67958,175831112.67,3645733.45
2004,Broome,"$10,000 - $19,999",14265,211535863.84,5286200.01
2004,Broome,"$100,000 - $199,999",6566,956433114.33,19332303.66
2004,Broome,"$20,000 - $29,999",14027,323830475.67,9445493.29
2004,Broome,"$200,000 or more",3208,1034005291.43,10580843.55
2004,Broome,"$30,000 - $39,999",10718,358392492.36,9868092.4
2004,Broome,"$40,000 - $49,999",9655,439429681.6,12708136.7
2004,Broome,"$5,000 - $9,999",7303,51803483.45,1435143.38
2004,Broome,"$50,000 - $74,999",14133,943531457.01,23339909.15
2004,Broome,"$75,000 - $99,999",7748,780187349.08,17562971.82
2004,Broome,"Under $5,000",7263,17979629.34,378220.02
2004,Cayuga,"$10,000 - $19,999",5955,88285433.42,2286453.53
2004,Cayuga,"$100,000 - $199,999",2596,349978739.92,6778159.97
2004,Cayuga,"$20,000 - $29,999",5057,125239767.57,2819947.57
2004,Cayuga,"$200,000 or more",1146,354576518.57,3335733.53
2004,Cayuga,"$30,000 - $39,999",4347,148950029.62,3679755.19
2004,Cayuga,"$40,000 - $49,999",3547,168461732.56,4582625.75
2004,Cayuga,"$5,000 - $9,999",2894,18916959.5,526343.8
2004,Cayuga,"$50,000 - $74,999",4865,322840781.19,7920461.79
2004,Cayuga,"$75,000 - $99,999",2829,245437581.53,6481861.17
2004,Cayuga,"Under $5,000",3048,7151882.97,155419.04
2004,Chemung,"$10,000 - $19,999",5651,85209865.83,2029553.46
2004,Chemung,"$100,000 - $199,999",2545,413029940.5,6551131.69
2004,Chemung,"$20,000 - $29,999",5222,142107758.05,3153237.35
2004,Chemung,"$200,000 or more",1197,367982111.69,3960319.22
2004,Chemung,"$30,000 - $39,999",4750,155473433.15,4180535.35
2004,Chemung,"$40,000 - $49,999",3584,167609158.16,4654930.93
2004,Chemung,"$5,000 - $9,999",3219,23775102.23,547023.79
2004,Chemung,"$50,000 - $74,999",5896,335218364.42,9982740.79
2004,Chemung,"$75,000 - $99,999",2901,256610136.99,6145041.04
2004,Chemung,"Under $5,000",3357,8294119.23,170552.79
2004,Cortland,"$10,000 - $19,999",3629,58821171.97,1239109.82
2004,Cortland,"$100,000 - $199,999",1339,200680988.35,3709184.31
2004,Cortland,"$20,000 - $29,999",3066,74998124.08,1780170.25
2004,Cortland,"$200,000 or more",682,224115067.6,1971205.87
2004,Cortland,"$30,000 - $39,999",2661,93606225.5,2622850.31
2004,Cortland,"$40,000 - $49,999",2033,96821055.69,2816769.47
2004,Cortland,"$5,000 - $9,999",1972,14583847.88,382345.73
2004,Cortland,"$50,000 - $74,999",3327,231037905.57,5476865.96
2004,Cortland,"$75,000 - $99,999",1726,146731291.1,3633767.5
2004,Cortland,"Under $5,000",1968,4482804.46,96814.26
2004,Dutchess,"$10,000 - $19,999",18275,274873190.55,8331216.72
2004,Dutchess,"$100,000 - $199,999",12957,2063989347.93,38295675.99
2004,Dutchess,"$20,000 - $29,999",17003,435220284.21,13533460.09
2004,Dutchess,"$200,000 or more",6234,2053504410.98,24240430.02
2004,Dutchess,"$30,000 - $39,999",16748,583334264.29,19634286.2
2004,Dutchess,"$40,000 - $49,999",14268,672789678.08,24008445.41
2004,Dutchess,"$5,000 - $9,999",8795,66663788.16,1921257.59
2004,Dutchess,"$50,000 - $74,999",23912,1304257596.21,49697623.64
2004,Dutchess,"$75,000 - $99,999",13804,1219378860.52,35778223.83
2004,Dutchess,"Under $5,000",8291,20162736.1,470840.17
2004,Erie,"$10,000 - $19,999",63145,897670508.33,26097600.89
2004,Erie,"$100,000 - $199,999",31472,4528605180.75,98043341.19
2004,Erie,"$20,000 - $29,999",55419,1260225595.06,46586302.54
2004,Erie,"$200,000 or more",15219,4657096885.41,58785051.12
2004,Erie,"$30,000 - $39,999",48466,1706260809.87,49482780.42
2004,Erie,"$40,000 - $49,999",43949,1767905832.17,61769236.29
2004,Erie,"$5,000 - $9,999",32014,232107528.77,6845279.58
